# T C_ray unC_ray psi unpsi amp unamp
8 3.00226 0.022554 57.2578 17.8369 0.500804 0.330946
10 3.11465 0.0152582 64.935 8.87559 0.690292 0.238605
12 3.20644 0.013936 68.7874 6.58306 0.764394 0.203659
14 3.30406 0.0119703 70.6387 6.0701 0.761634 0.191013
16 3.39029 0.0125028 73.5852 5.38703 0.824283 0.187117
18 3.46904 0.0137719 75.4733 5.59023 0.796672 0.185924
20 3.5395 0.017076 75.3961 6.42937 0.752922 0.200058
22 3.6146 0.0170605 76.835 6.22587 0.767541 0.201495
24 3.65438 0.0175414 78.7127 6.46224 0.732875 0.201797
26 3.69115 0.0212305 81.2766 6.40463 0.743829 0.203733
28 3.71566 0.0237749 79.8419 7.02309 0.696006 0.20822
30 3.72669 0.0220354 79.5474 7.46004 0.670393 0.212278
32 3.74945 0.0226828 80.2301 7.47625 0.673496 0.217891
34 3.76909 0.0217201 80.3957 7.51097 0.666042 0.215282
36 3.79579 0.0231316 80.3071 8.22678 0.599878 0.213178
38 3.80581 0.0230502 81.3412 9.22102 0.539248 0.212301
40 3.8295 0.0229132 79.9588 10.0717 0.502602 0.21227
45 3.84888 0.0266083 75.2762 11.5929 0.448841 0.210853
50 3.86738 0.0249403 77.381 18.5062 0.297807 0.221354
55 3.89248 0.0262598 75.2822 34.4369 0.167657 0.167657
60 3.90702 0.0307876 63.926 45.6019 0.133759 0.133759
65 3.93292 0.032638 70.8415 27.1376 0.236143 0.236143
70 3.94627 0.0337115 64.5154 34.611 0.197306 0.197306
75 4.00226 0.0383546 48.765 48.87 0.146751 0.146751
80 3.99436 0.035856 15.1961 90 0.0403995 0.0403995
85 3.98338 0.0421172 150.41 90 0.0496577 0.0496577
